Дата,Звертання,Покази,CTR,Позиція
2026-03-11,0,0,,
2026-03-12,0,0,,
2026-03-13,0,0,,
2026-03-14,0,0,,
2026-03-15,3,4,75%,1
2026-03-16,0,0,,
2026-03-17,0,4,0%,1
2026-03-18,1,3,33.33%,6
2026-03-19,1,1,100%,1
2026-03-20,0,1,0%,3
2026-03-21,0,2,0%,3
2026-03-22,1,1,100%,3
2026-03-23,0,0,,
2026-03-24,0,0,,
2026-03-25,0,0,,
2026-03-26,0,0,,
2026-03-27,0,0,,
2026-03-28,0,0,,
2026-03-29,0,1,0%,1
2026-03-30,0,0,,
2026-03-31,1,1,100%,1
2026-04-01,3,6,50%,1
2026-04-02,0,0,,
2026-04-03,0,1,0%,1
2026-04-04,0,0,,
2026-04-05,0,0,,
2026-04-06,0,0,,
2026-04-07,2,3,66.67%,1
2026-04-08,0,0,,
2026-04-09,0,1,0%,4
2026-04-10,0,0,,
2026-04-11,0,0,,
2026-04-12,0,0,,
2026-04-13,0,0,,
2026-04-14,0,0,,
2026-04-15,0,2,0%,8
2026-04-16,0,0,,
2026-04-17,0,0,,
2026-04-18,0,0,,
2026-04-19,0,5,0%,7.8
2026-04-20,1,7,14.29%,3.6
